Date,Seoul,Daegu,Total 
02-01,0,0,1
02-02,0,0,3
02-03,0,0,0
02-04,0,0,1
02-05,0,0,3
02-06,0,0,4
02-07,0,0,1
02-08,0,0,0
02-09,0,0,3
02-10,0,0,0
02-11,0,0,1
02-12,0,0,0
02-13,0,0,0
02-14,0,0,0
02-15,0,0,0
02-16,0,0,1
02-17,0,0,1
02-18,0,0,1
02-19,1,15,20
02-20,2,15,53
02-21,5,80,100
02-22,3,83,229
02-23,1,117,169
02-24,4,173,231
02-25,6,60,144
02-26,8,167,284
02-27,7,422,505
02-28,6,447,571
02-29,15,657,813
03-01,14,846,1062
03-02,7,519,600
03-03,1,405,516
03-04,4,320,438
03-05,2,367,518
03-06,3,390,483
03-07,12,297,367
03-08,10,190,248
03-09,11,92,131
03-10,52,131,242
03-11,19,73,114
03-12,13,61,110
03-13,13,62,107
03-14,9,41,76
03-15,6,35,74
03-16,12,32,84
03-17,5,46,93
03-18,12,97,152
03-19,17,34,87
03-20,15,69,147
03-21,10,43,98
03-22,6,24,64
03-23,4,31,76
03-24,13,14,100
03-25,13,26,104
03-26,12,34,91
03-27,18,71,146
03-28,20,23,105
03-29,16,14,78
03-30,24,60,125
03-31,24,20,101
04-01,14,21,89
04-02,18,9,86
04-03,22,27,94
04-04,24,7,81
04-05,11,13,47
04-06,4,13,47
04-07,11,9,53
04-08,12,4,39
04-09,5,0,27
04-10,4,7,30
04-11,3,2,32
04-12,8,3,25
04-13,2,3,27
04-14,5,1,27
04-15,2,4,22
04-16,2,0,22
04-17,1,3,18
04-18,2,2,8
04-19,0,1,13
04-20,2,2,9
04-21,2,1,11
04-22,0,4,8
04-23,0,2,6
04-24,1,3,10
04-25,0,1,10
04-26,0,1,10
04-27,4,2,14
04-28,0,3,9
04-29,0,0,4
04-30,1,0,9
05-01,1,0,6
05-02,2,4,13
05-03,0,0,8
05-04,0,0,3
05-05,0,0,2
05-06,0,0,4
05-07,0,3,12
05-08,12,0,18
05-09,14,2,34
05-10,20,0,35
05-11,12,1,27
05-12,12,3,26
05-13,4,0,29
05-14,14,3,27
05-15,5,1,19
05-16,5,1,13
05-17,1,1,15
05-18,6,0,13
05-19,10,1,32
05-20,4,0,12
05-21,2,0,20
05-22,4,1,23
05-23,6,0,25
05-24,6,1,16
05-25,9,1,19
05-26,19,3,40
05-27,24,2,79
05-28,20,0,58
05-29,9,2,39
05-30,6,1,27
05-31,1,1,35
